Parent ID,Parent SKU,Product ID,Product SKU,Product Name,Post Title,Slug,Permalink,Product URI,Description,Excerpt,Product Published,Product Modified,Type,Visibility,Featured,Virtual,Downloadable,Price,Sale Price,Net Price,Category,Tag,Featured Image,Product Gallery,Tax Status,Tax Class,Shipping Class,Download File Name,Download File URL Path,Download Limit,Download Expiry,Download Type,Manage Stock,Quantity,Stock Status,Allow Backorders,Sold Individually,Up-Sells,Cross-Sells,External URL,Button Text,Purchase Note,Product Status,Enable Reviews,Sort Order,Post Author,Username,User Role,WordPress SEO - Focus Keyword,WordPress SEO - Meta Description,WordPress SEO - SEO Title,WordPress SEO - Noindex,WordPress SEO - Follow,WordPress SEO - Google+ Description,WordPress SEO - Facebook Title,WordPress SEO - Facebook Description,WordPress SEO - Facebook Image,WordPress SEO - Twitter Title,WordPress SEO - Twitter Description,WordPress SEO - Twitter Image,WordPress SEO - Canonical URL
,,27267,,Wędka Zemex Iron Medium Feeder 12ft 3.60m 90g,Wędka Zemex Iron Medium Feeder 12ft 3.60m 90g,wedka-zemex-iron-medium-feeder-12ft-3-60m-90g,https://feedersklep.pl/produkt/wedka-zemex-iron-medium-feeder-12ft-3-60m-90g/,https://feedersklep.pl/produkt/wedka-zemex-iron-medium-feeder-12ft-3-60m-90g/,"Seria wędek Zemex Iron dedykowana jest wędkarzom, którzy chcą posiadać doskonale wykonaną wędkę za relatywnie niewielkie pieniądze. Blanki wędek Iron charakteryzują się dużą mocą i bardzo szybką akcją. Duża rozpiętość gramatur i długości pozwala dopasować wędziska do wszystkich rodzajów wód - od łowisk komercyjnych, po duże i rwące rzeki.



<strong>Długość:</strong> 3.60m

<strong>Długość transportowa:</strong> 128cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 1.00oz / 2.00oz / 3.00oz (węglowe, średnicy 2.3mm)

<strong>CW:</strong> 90g

<strong>Waga:</strong> 220g



&nbsp;","Seria wędek Zemex Iron dedykowana jest wędkarzom, którzy chcą posiadać doskonale wykonaną wędkę za relatywnie niewielkie pieniądze. Blanki wędek Iron charakteryzują się dużą mocą i bardzo szybką akcją. Duża rozpiętość gramatur i długości pozwala dopasować wędziska do wszystkich rodzajów wód - od łowisk komercyjnych, po duże i rwące rzeki.



<strong>Długość:</strong> 3.60m

<strong>Długość transportowa:</strong> 128cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 1.00oz / 2.00oz / 3.00oz (węglowe, średnicy 2.3mm)

<strong>CW:</strong> 90g

<strong>Waga:</strong> 220g",09/04/2021,09/04/2021,Simple Product,Hidden,No,No,No,,,,"521,188",,https://feedersklep.pl/wp-content/uploads/2021/04/iron-feeder-feedersklep-zemex.jpg,27253|27255|27257|27259,Taxable,,,,,-1,-1,Standard,yes,0,Out of Stock,No,No,,,,,,Publish,Closed,0,5,Marcin,Administrator,wędka,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą.",,,,,,,,,,,
,,27266,,Wędka Zemex Iron Medium Feeder 12ft 3.60m 70g,Wędka Zemex Iron Medium Feeder 12ft 3.60m 70g,wedka-zemex-iron-medium-feeder-12ft-3-60m-70g,https://feedersklep.pl/produkt/wedka-zemex-iron-medium-feeder-12ft-3-60m-70g/,https://feedersklep.pl/produkt/wedka-zemex-iron-medium-feeder-12ft-3-60m-70g/,"Seria wędek Zemex Iron dedykowana jest wędkarzom, którzy chcą posiadać doskonale wykonaną wędkę za relatywnie niewielkie pieniądze. Blanki wędek Iron charakteryzują się dużą mocą i bardzo szybką akcją. Duża rozpiętość gramatur i długości pozwala dopasować wędziska do wszystkich rodzajów wód - od łowisk komercyjnych, po duże i rwące rzeki.



<strong>Długość:</strong> 3.60m

<strong>Długość transportowa:</strong> 128cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 1.00oz / 1.50oz / 2.50oz (węglowe, średnicy 2.3mm)

<strong>CW:</strong> 70g

<strong>Waga:</strong> 215g



&nbsp;","Seria wędek Zemex Iron dedykowana jest wędkarzom, którzy chcą posiadać doskonale wykonaną wędkę za relatywnie niewielkie pieniądze. Blanki wędek Iron charakteryzują się dużą mocą i bardzo szybką akcją. Duża rozpiętość gramatur i długości pozwala dopasować wędziska do wszystkich rodzajów wód - od łowisk komercyjnych, po duże i rwące rzeki.



<strong>Długość:</strong> 3.60m

<strong>Długość transportowa:</strong> 128cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 1.00oz / 1.50oz / 2.50oz (węglowe, średnicy 2.3mm)

<strong>CW:</strong> 70g

<strong>Waga:</strong> 215g",09/04/2021,26/04/2021,Simple Product,Shop and search results,No,No,No,"333,333333333333",,"333,333333333333","521,188",,https://feedersklep.pl/wp-content/uploads/2021/04/iron-feeder-feedersklep-zemex.jpg,27253|27255|27257|27259,Taxable,,,,,-1,-1,Standard,yes,42,In Stock,No,No,,,,,,Publish,Closed,0,5,Marcin,Administrator,wędka,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą.",,,,,,,,,,,
,,27264,,Wędka Zemex Iron Light Feeder 11ft 3.30m 50g,Wędka Zemex Iron Light Feeder 11ft 3.30m 50g,wedka-zemex-iron-light-feeder-11ft-3-30m-50g,https://feedersklep.pl/produkt/wedka-zemex-iron-light-feeder-11ft-3-30m-50g/,https://feedersklep.pl/produkt/wedka-zemex-iron-light-feeder-11ft-3-30m-50g/,"Seria wędek Zemex Iron dedykowana jest wędkarzom, którzy chcą posiadać doskonale wykonaną wędkę za relatywnie niewielkie pieniądze. Blanki wędek Iron charakteryzują się dużą mocą i bardzo szybką akcją. Duża rozpiętość gramatur i długości pozwala dopasować wędziska do wszystkich rodzajów wód - od łowisk komercyjnych, po duże i rwące rzeki.



<strong>Długość:</strong> 3.30m

<strong>Długość transportowa:</strong> 150cm

<strong>Ilość sekcji:</strong> 2+3 szczytówki

<strong>Szczytówki:</strong> 0.75oz / 1.00oz / 1.50oz (węglowe, średnicy 2.3mm)

<strong>CW:</strong> 50g

<strong>Waga:</strong> 182g



&nbsp;","Seria wędek Zemex Iron dedykowana jest wędkarzom, którzy chcą posiadać doskonale wykonaną wędkę za relatywnie niewielkie pieniądze. Blanki wędek Iron charakteryzują się dużą mocą i bardzo szybką akcją. Duża rozpiętość gramatur i długości pozwala dopasować wędziska do wszystkich rodzajów wód - od łowisk komercyjnych, po duże i rwące rzeki.



<strong>Długość:</strong> 3.30m

<strong>Długość transportowa:</strong> 150cm

<strong>Ilość sekcji:</strong> 2+3 szczytówki

<strong>Szczytówki:</strong> 0.75oz / 1.00oz / 1.50oz (węglowe, średnicy 2.3mm)

<strong>CW:</strong> 50g

<strong>Waga:</strong> 182g",09/04/2021,18/04/2021,Simple Product,Shop and search results,No,No,No,"282,113821138211",,"282,113821138211","521,188",,https://feedersklep.pl/wp-content/uploads/2021/04/iron-feeder-feedersklep-zemex.jpg,27253|27255|27257|27259,Taxable,,,,,-1,-1,Standard,yes,61,In Stock,No,No,,,,,,Publish,Closed,0,5,Marcin,Administrator,wędka,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą.",,,,,,,,,,,
,,27263,,Wędka Zemex Iron Light Feeder 10ft 3.00m 40g,Wędka Zemex Iron Light Feeder 10ft 3.00m 40g,wedka-zemex-iron-light-feeder-10ft-3-00m-40g,https://feedersklep.pl/produkt/wedka-zemex-iron-light-feeder-10ft-3-00m-40g/,https://feedersklep.pl/produkt/wedka-zemex-iron-light-feeder-10ft-3-00m-40g/,"Seria wędek Zemex Iron dedykowana jest wędkarzom, którzy chcą posiadać doskonale wykonaną wędkę za relatywnie niewielkie pieniądze. Blanki wędek Iron charakteryzują się dużą mocą i bardzo szybką akcją. Duża rozpiętość gramatur i długości pozwala dopasować wędziska do wszystkich rodzajów wód - od łowisk komercyjnych, po duże i rwące rzeki.



<strong>Długość:</strong> 3.00m

<strong>Długość transportowa:</strong> 136cm

<strong>Ilość sekcji:</strong> 2+3 szczytówki

<strong>Szczytówki:</strong> 0.75oz / 1.00oz / 1.50oz (węglowe, średnicy 2.3mm)

<strong>CW:</strong> 40g

<strong>Waga:</strong> 177g



&nbsp;","Seria wędek Zemex Iron dedykowana jest wędkarzom, którzy chcą posiadać doskonale wykonaną wędkę za relatywnie niewielkie pieniądze. Blanki wędek Iron charakteryzują się dużą mocą i bardzo szybką akcją. Duża rozpiętość gramatur i długości pozwala dopasować wędziska do wszystkich rodzajów wód - od łowisk komercyjnych, po duże i rwące rzeki.



<strong>Długość:</strong> 3.00m

<strong>Długość transportowa:</strong> 136cm

<strong>Ilość sekcji:</strong> 2+3 szczytówki

<strong>Szczytówki:</strong> 0.75oz / 1.00oz / 1.50oz (węglowe, średnicy 2.3mm)

<strong>CW:</strong> 40g

<strong>Waga:</strong> 177g",09/04/2021,23/04/2021,Simple Product,Shop and search results,No,No,No,"268,292682926829",,"268,292682926829","521,188",,https://feedersklep.pl/wp-content/uploads/2021/04/iron-feeder-feedersklep-zemex.jpg,27253|27255|27257|27259,Taxable,,,,,-1,-1,Standard,yes,15,In Stock,No,No,,,,,,Publish,Closed,0,5,Marcin,Administrator,wędka,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą.",,,,,,,,,,,
,,27251,,Wędka Zemex Iron Picker 9ft 2.70m 30g,Wędka Zemex Iron Picker 9ft 2.70m 30g,wedka-zemex-iron-picker-9ft-2-70m-30g,https://feedersklep.pl/produkt/wedka-zemex-iron-picker-9ft-2-70m-30g/,https://feedersklep.pl/produkt/wedka-zemex-iron-picker-9ft-2-70m-30g/,"Seria wędek Zemex Iron dedykowana jest wędkarzom, którzy chcą posiadać doskonale wykonaną wędkę za relatywnie niewielkie pieniądze. Blanki wędek Iron charakteryzują się dużą mocą i bardzo szybką akcją. Duża rozpiętość gramatur i długości pozwala dopasować wędziska do wszystkich rodzajów wód - od łowisk komercyjnych, po duże i rwące rzeki.



<strong>Długość:</strong> 2.70m

<strong>Długość transportowa:</strong> 121cm

<strong>Ilość sekcji:</strong> 2+3 szczytówki

<strong>Szczytówki:</strong> 0.50oz / 0.75oz / 1.00oz (węglowe, średnicy 2.3mm)

<strong>CW:</strong> 30g

<strong>Waga:</strong> 159g



&nbsp;","Seria wędek Zemex Iron dedykowana jest wędkarzom, którzy chcą posiadać doskonale wykonaną wędkę za relatywnie niewielkie pieniądze. Blanki wędek Iron charakteryzują się dużą mocą i bardzo szybką akcją. Duża rozpiętość gramatur i długości pozwala dopasować wędziska do wszystkich rodzajów wód - od łowisk komercyjnych, po duże i rwące rzeki.



<strong>Długość:</strong> 2.70m

<strong>Długość transportowa:</strong> 121cm

<strong>Ilość sekcji:</strong> 2+3 szczytówki

<strong>Szczytówki:</strong> 0.50oz / 0.75oz / 1.00oz (węglowe, średnicy 2.3mm)

<strong>CW:</strong> 30g

<strong>Waga:</strong> 159g",09/04/2021,09/04/2021,Simple Product,Hidden,No,No,No,,,0,"521,188",,https://feedersklep.pl/wp-content/uploads/2021/04/iron-feeder-feedersklep-zemex.jpg,27253|27255|27257|27259,Taxable,,,,,-1,-1,Standard,yes,0,Out of Stock,No,No,,,,,,Publish,Closed,0,5,Marcin,Administrator,wędka,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą.",,,,,,,,,,,
,,27250,,Wędka Zemex Hi-Pro Super Feeder 14ft 4.20m 140g,Wędka Zemex Hi-Pro Super Feeder 14ft 4.20m 140g,wedka-zemex-hi-pro-super-feeder-14ft-4-20m-140g,https://feedersklep.pl/produkt/wedka-zemex-hi-pro-super-feeder-14ft-4-20m-140g/,https://feedersklep.pl/produkt/wedka-zemex-hi-pro-super-feeder-14ft-4-20m-140g/,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą. Modele krótkie 2.70m-3.30m zadowolą wszystkich wędkujących wszystkimi metodami feederowymi na krótkich dystansach. Dłuższe wędki sprawdzą się w rzekach i przy łowieniu dystansowym. Blank Hi-Pro w krótkich wędkach zachowuje się dość dynamicznie, pozwalając na głębokie ugięcie; dłuższe wędki są zdecydowanie progresywne. Wszystkie modele Hi-Pro wyposażono w antykorozyjne przelotki Sea Guide XOG i XQG. Wewnętrzny pierścień przelotki wykonany został z wytrzymałego, antykorozyjnego stopu stali SS316 umożliwiającego bezproblemowe łowienie przy użyciu plecionek. Wędki wyposażono w trzy szczytówki, które różnią się mocą w zależności od modelu wędki.



<strong>Długość:</strong> 4.20m

<strong>Długość transportowa:</strong> 147cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 3.00oz / 4.00oz / 5.00oz (węglowe, średnica 3.5mm)

<strong>CW:</strong> 140g

<strong>Waga:</strong> 284g



&nbsp;","Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą. Modele krótkie 2.70m-3.30m zadowolą wszystkich wędkujących wszystkimi metodami feederowymi na krótkich dystansach. Dłuższe wędki sprawdzą się w rzekach i przy łowieniu dystansowym. Blank Hi-Pro w krótkich wędkach zachowuje się dość dynamicznie, pozwalając na głębokie ugięcie; dłuższe wędki są zdecydowanie progresywne. Wszystkie modele Hi-Pro wyposażono w antykorozyjne przelotki Sea Guide XOG i XQG. Wewnętrzny pierścień przelotki wykonany został z wytrzymałego, antykorozyjnego stopu stali SS316 umożliwiającego bezproblemowe łowienie przy użyciu plecionek. Wędki wyposażono w trzy szczytówki, które różnią się mocą w zależności od modelu wędki.



<strong>Długość:</strong> 4.20m

<strong>Długość transportowa:</strong> 147cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 3.00oz / 4.00oz / 5.00oz (węglowe, średnica 3.5mm)

<strong>CW:</strong> 140g

<strong>Waga:</strong> 284g",09/04/2021,09/04/2021,Simple Product,Hidden,No,No,No,,,0,"521,188",,https://feedersklep.pl/wp-content/uploads/2021/04/hi-pro-feeder-feedersklep.jpg,27191|27231|27233|27235|27237,Taxable,,,,,-1,-1,Standard,yes,0,Out of Stock,No,No,,,,,,Publish,Closed,0,5,Marcin,Administrator,wędka,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą.",,,,,,,,,,,
,,27249,,Wędka Zemex Hi-Pro Super Feeder 13ft 3.90m 140g,Wędka Zemex Hi-Pro Super Feeder 13ft 3.90m 140g,wedka-zemex-hi-pro-super-feeder-13ft-3-90m-140g,https://feedersklep.pl/produkt/wedka-zemex-hi-pro-super-feeder-13ft-3-90m-140g/,https://feedersklep.pl/produkt/wedka-zemex-hi-pro-super-feeder-13ft-3-90m-140g/,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą. Modele krótkie 2.70m-3.30m zadowolą wszystkich wędkujących wszystkimi metodami feederowymi na krótkich dystansach. Dłuższe wędki sprawdzą się w rzekach i przy łowieniu dystansowym. Blank Hi-Pro w krótkich wędkach zachowuje się dość dynamicznie, pozwalając na głębokie ugięcie; dłuższe wędki są zdecydowanie progresywne. Wszystkie modele Hi-Pro wyposażono w antykorozyjne przelotki Sea Guide XOG i XQG. Wewnętrzny pierścień przelotki wykonany został z wytrzymałego, antykorozyjnego stopu stali SS316 umożliwiającego bezproblemowe łowienie przy użyciu plecionek. Wędki wyposażono w trzy szczytówki, które różnią się mocą w zależności od modelu wędki.



<strong>Długość:</strong> 3.90m

<strong>Długość transportowa:</strong> 137cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 3.00oz / 4.00oz / 5.00oz (węglowe, średnica 3.5mm)

<strong>CW:</strong> 140g

<strong>Waga:</strong> 263g



&nbsp;","Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą. Modele krótkie 2.70m-3.30m zadowolą wszystkich wędkujących wszystkimi metodami feederowymi na krótkich dystansach. Dłuższe wędki sprawdzą się w rzekach i przy łowieniu dystansowym. Blank Hi-Pro w krótkich wędkach zachowuje się dość dynamicznie, pozwalając na głębokie ugięcie; dłuższe wędki są zdecydowanie progresywne. Wszystkie modele Hi-Pro wyposażono w antykorozyjne przelotki Sea Guide XOG i XQG. Wewnętrzny pierścień przelotki wykonany został z wytrzymałego, antykorozyjnego stopu stali SS316 umożliwiającego bezproblemowe łowienie przy użyciu plecionek. Wędki wyposażono w trzy szczytówki, które różnią się mocą w zależności od modelu wędki.



<strong>Długość:</strong> 3.90m

<strong>Długość transportowa:</strong> 137cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 3.00oz / 4.00oz / 5.00oz (węglowe, średnica 3.5mm)

<strong>CW:</strong> 140g

<strong>Waga:</strong> 263g",09/04/2021,09/04/2021,Simple Product,Hidden,No,No,No,,,0,"521,188",,https://feedersklep.pl/wp-content/uploads/2021/04/hi-pro-feeder-feedersklep.jpg,27191|27231|27233|27235|27237,Taxable,,,,,-1,-1,Standard,yes,0,Out of Stock,No,No,,,,,,Publish,Closed,0,5,Marcin,Administrator,wędka,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą.",,,,,,,,,,,
,,27247,,Wędka Zemex Hi-Pro Super Feeder 13ft 3.90m 110g,Wędka Zemex Hi-Pro Super Feeder 13ft 3.90m 110g,wedka-zemex-hi-pro-super-feeder-13ft-3-90m-110g,https://feedersklep.pl/produkt/wedka-zemex-hi-pro-super-feeder-13ft-3-90m-110g/,https://feedersklep.pl/produkt/wedka-zemex-hi-pro-super-feeder-13ft-3-90m-110g/,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą. Modele krótkie 2.70m-3.30m zadowolą wszystkich wędkujących wszystkimi metodami feederowymi na krótkich dystansach. Dłuższe wędki sprawdzą się w rzekach i przy łowieniu dystansowym. Blank Hi-Pro w krótkich wędkach zachowuje się dość dynamicznie, pozwalając na głębokie ugięcie; dłuższe wędki są zdecydowanie progresywne. Wszystkie modele Hi-Pro wyposażono w antykorozyjne przelotki Sea Guide XOG i XQG. Wewnętrzny pierścień przelotki wykonany został z wytrzymałego, antykorozyjnego stopu stali SS316 umożliwiającego bezproblemowe łowienie przy użyciu plecionek. Wędki wyposażono w trzy szczytówki, które różnią się mocą w zależności od modelu wędki.



<strong>Długość:</strong> 3.90m

<strong>Długość transportowa:</strong> 137cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 2.00oz / 3.00oz / 4.00oz (węglowe, średnica 3.5mm)

<strong>CW:</strong> 110g

<strong>Waga:</strong> 238g



&nbsp;","Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą. Modele krótkie 2.70m-3.30m zadowolą wszystkich wędkujących wszystkimi metodami feederowymi na krótkich dystansach. Dłuższe wędki sprawdzą się w rzekach i przy łowieniu dystansowym. Blank Hi-Pro w krótkich wędkach zachowuje się dość dynamicznie, pozwalając na głębokie ugięcie; dłuższe wędki są zdecydowanie progresywne. Wszystkie modele Hi-Pro wyposażono w antykorozyjne przelotki Sea Guide XOG i XQG. Wewnętrzny pierścień przelotki wykonany został z wytrzymałego, antykorozyjnego stopu stali SS316 umożliwiającego bezproblemowe łowienie przy użyciu plecionek. Wędki wyposażono w trzy szczytówki, które różnią się mocą w zależności od modelu wędki.



<strong>Długość:</strong> 3.90m

<strong>Długość transportowa:</strong> 137cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 2.00oz / 3.00oz / 4.00oz (węglowe, średnica 3.5mm)

<strong>CW:</strong> 110g

<strong>Waga:</strong> 238g",09/04/2021,09/04/2021,Simple Product,Shop and search results,No,No,No,"678,861788617886",,"678,861788617886","521,188",,https://feedersklep.pl/wp-content/uploads/2021/04/hi-pro-feeder-feedersklep.jpg,27191|27231|27233|27235|27237,Taxable,,,,,-1,-1,Standard,yes,2,In Stock,No,No,,,,,,Publish,Closed,0,5,Marcin,Administrator,wędka,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą.",,,,,,,,,,,
,,27245,,Wędka Zemex Hi-Pro Super Feeder 13ft 3.90m 90g,Wędka Zemex Hi-Pro Super Feeder 13ft 3.90m 90g,wedka-zemex-hi-pro-super-feeder-13ft-3-90m-90g,https://feedersklep.pl/produkt/wedka-zemex-hi-pro-super-feeder-13ft-3-90m-90g/,https://feedersklep.pl/produkt/wedka-zemex-hi-pro-super-feeder-13ft-3-90m-90g/,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą. Modele krótkie 2.70m-3.30m zadowolą wszystkich wędkujących wszystkimi metodami feederowymi na krótkich dystansach. Dłuższe wędki sprawdzą się w rzekach i przy łowieniu dystansowym. Blank Hi-Pro w krótkich wędkach zachowuje się dość dynamicznie, pozwalając na głębokie ugięcie; dłuższe wędki są zdecydowanie progresywne. Wszystkie modele Hi-Pro wyposażono w antykorozyjne przelotki Sea Guide XOG i XQG. Wewnętrzny pierścień przelotki wykonany został z wytrzymałego, antykorozyjnego stopu stali SS316 umożliwiającego bezproblemowe łowienie przy użyciu plecionek. Wędki wyposażono w trzy szczytówki, które różnią się mocą w zależności od modelu wędki.



<strong>Długość:</strong> 3.90m

<strong>Długość transportowa:</strong> 137cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 1.00oz / 2.00oz / 3.00oz (węglowe, średnica 3.0mm)

<strong>CW:</strong> 90g

<strong>Waga:</strong> 227g



&nbsp;","Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą. Modele krótkie 2.70m-3.30m zadowolą wszystkich wędkujących wszystkimi metodami feederowymi na krótkich dystansach. Dłuższe wędki sprawdzą się w rzekach i przy łowieniu dystansowym. Blank Hi-Pro w krótkich wędkach zachowuje się dość dynamicznie, pozwalając na głębokie ugięcie; dłuższe wędki są zdecydowanie progresywne. Wszystkie modele Hi-Pro wyposażono w antykorozyjne przelotki Sea Guide XOG i XQG. Wewnętrzny pierścień przelotki wykonany został z wytrzymałego, antykorozyjnego stopu stali SS316 umożliwiającego bezproblemowe łowienie przy użyciu plecionek. Wędki wyposażono w trzy szczytówki, które różnią się mocą w zależności od modelu wędki.



<strong>Długość:</strong> 3.90m

<strong>Długość transportowa:</strong> 137cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 1.00oz / 2.00oz / 3.00oz (węglowe, średnica 3.0mm)

<strong>CW:</strong> 90g

<strong>Waga:</strong> 227g",09/04/2021,09/04/2021,Simple Product,Hidden,No,No,No,,,0,"521,188",,https://feedersklep.pl/wp-content/uploads/2021/04/hi-pro-feeder-feedersklep.jpg,27191|27231|27233|27235|27237,Taxable,,,,,-1,-1,Standard,yes,0,Out of Stock,No,No,,,,,,Publish,Closed,0,5,Marcin,Administrator,wędka,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą.",,,,,,,,,,,
,,27244,,Wędka Zemex Hi-Pro Super Feeder 12ft 3.60m 100g,Wędka Zemex Hi-Pro Super Feeder 12ft 3.60m 100g,wedka-zemex-hi-pro-super-feeder-12ft-3-60m-100g,https://feedersklep.pl/produkt/wedka-zemex-hi-pro-super-feeder-12ft-3-60m-100g/,https://feedersklep.pl/produkt/wedka-zemex-hi-pro-super-feeder-12ft-3-60m-100g/,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą. Modele krótkie 2.70m-3.30m zadowolą wszystkich wędkujących wszystkimi metodami feederowymi na krótkich dystansach. Dłuższe wędki sprawdzą się w rzekach i przy łowieniu dystansowym. Blank Hi-Pro w krótkich wędkach zachowuje się dość dynamicznie, pozwalając na głębokie ugięcie; dłuższe wędki są zdecydowanie progresywne. Wszystkie modele Hi-Pro wyposażono w antykorozyjne przelotki Sea Guide XOG i XQG. Wewnętrzny pierścień przelotki wykonany został z wytrzymałego, antykorozyjnego stopu stali SS316 umożliwiającego bezproblemowe łowienie przy użyciu plecionek. Wędki wyposażono w trzy szczytówki, które różnią się mocą w zależności od modelu wędki.



<strong>Długość:</strong> 3.60m

<strong>Długość transportowa:</strong> 127cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 2.00oz / 3.00oz / 4.00oz (węglowe, średnica 3.5mm)

<strong>CW:</strong> 100g

<strong>Waga:</strong> 208g



&nbsp;","Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą. Modele krótkie 2.70m-3.30m zadowolą wszystkich wędkujących wszystkimi metodami feederowymi na krótkich dystansach. Dłuższe wędki sprawdzą się w rzekach i przy łowieniu dystansowym. Blank Hi-Pro w krótkich wędkach zachowuje się dość dynamicznie, pozwalając na głębokie ugięcie; dłuższe wędki są zdecydowanie progresywne. Wszystkie modele Hi-Pro wyposażono w antykorozyjne przelotki Sea Guide XOG i XQG. Wewnętrzny pierścień przelotki wykonany został z wytrzymałego, antykorozyjnego stopu stali SS316 umożliwiającego bezproblemowe łowienie przy użyciu plecionek. Wędki wyposażono w trzy szczytówki, które różnią się mocą w zależności od modelu wędki.



<strong>Długość:</strong> 3.60m

<strong>Długość transportowa:</strong> 127cm

<strong>Ilość sekcji:</strong> 3+3 szczytówki

<strong>Szczytówki:</strong> 2.00oz / 3.00oz / 4.00oz (węglowe, średnica 3.5mm)

<strong>CW:</strong> 100g

<strong>Waga:</strong> 208g",09/04/2021,09/04/2021,Simple Product,Hidden,No,No,No,,,0,"521,188",,https://feedersklep.pl/wp-content/uploads/2021/04/hi-pro-feeder-feedersklep.jpg,27191|27231|27233|27235|27237,Taxable,,,,,-1,-1,Standard,yes,0,Out of Stock,No,No,,,,,,Publish,Closed,0,5,Marcin,Administrator,wędka,"Hi-Pro to bardzo uniwersalne wędziska feederowe. W zależności od długości i ciężaru wyrzutowego, mogą spełniać różne funkcje nad wodą.",,,,,,,,,,,
